duration,protocol_type,service,src_bytes,dst_bytes,attack_type,label
1.5051,0,1,185,594,normal,0
0.3074,0,0,194,1813,normal,0
0.6401,1,0,1019,2452,normal,0
0.4729,0,0,538,1210,normal,0
0.0239,1,0,1021,2862,normal,0
0.241,1,1,710,2196,normal,0
0.0067,1,1,840,3545,normal,0
0.5764,0,0,572,903,normal,0
1.2002,0,2,1089,1149,normal,0
0.3956,0,3,793,1707,normal,0
0.2252,0,4,469,94,honeypot_probe,1
0.0093,0,4,1950,61,honeypot_probe,1
0.2461,0,2,280,891,normal,0
0.1615,0,0,584,1495,normal,0
0.1737,0,0,455,1826,normal,0
0.0093,0,3,50,27,ddos_attack,1
0.0976,0,4,1129,32,honeypot_probe,1
0.1862,0,2,789,1698,normal,0
0.0637,0,2,1305,630,normal,0
0.0068,0,1,24,25,ddos_attack,1
0.0571,0,1,627,1148,normal,0
1.1906,0,1,1258,668,normal,0
0.0401,0,0,641,2857,normal,0
0.01,0,3,37,43,ddos_attack,1
1.1154,0,2,1435,1624,normal,0
0.0583,0,1,691,1100,normal,0
0.0007,0,4,1679,26,honeypot_probe,1
0.1256,0,0,1461,3871,normal,0
0.607,0,3,627,1419,normal,0
0.3438,0,0,1168,826,normal,0
0.3493,0,0,1312,2560,normal,0
0.0783,0,3,310,963,normal,0
0.2307,0,2,947,3809,normal,0
0.3837,0,2,1211,314,normal,0
0.0208,0,2,466,1497,normal,0
0.1284,0,0,992,2087,normal,0
1.3802,0,0,536,2097,normal,0
0.2098,0,4,1834,6,honeypot_probe,1
0.017,0,1,58,1,ddos_attack,1
0.3364,0,4,652,36,honeypot_probe,1
0.0209,0,4,1456,98,honeypot_probe,1
0.0188,0,3,63,55,ddos_attack,1
0.1903,0,4,1848,71,honeypot_probe,1
0.0111,0,1,57,61,ddos_attack,1
0.3637,0,4,1113,81,honeypot_probe,1
0.2975,1,0,864,525,normal,0
0.6862,0,2,464,767,normal,0
0.0492,0,0,813,1821,normal,0
0.0499,0,4,637,7,honeypot_probe,1
0.7919,0,1,1023,1632,normal,0
0.6409,0,0,1136,3711,normal,0
1.4105,1,3,162,4091,normal,0
1.3178,0,3,1186,827,normal,0
0.0349,0,4,1180,31,honeypot_probe,1
0.0381,0,4,327,17,honeypot_probe,1
1.3756,0,1,689,3487,normal,0
0.0044,0,0,51,1,ddos_attack,1
0.9441,0,2,1126,1628,normal,0
0.2722,0,1,891,1657,normal,0
0.4943,0,0,463,2829,normal,0
0.0412,0,4,1315,97,honeypot_probe,1
0.4317,0,1,638,3389,normal,0
0.4468,0,0,901,3982,normal,0
0.0679,0,2,1067,3819,normal,0
0.0446,0,1,110,3042,normal,0
0.6475,1,1,720,247,normal,0
0.289,0,0,180,1981,normal,0
0.0119,0,0,10,46,ddos_attack,1
0.3984,0,2,960,3471,normal,0
0.5352,0,2,1163,281,normal,0
0.7091,0,0,1156,3246,normal,0
0.9671,0,1,281,2649,normal,0
0.3207,0,1,86,1913,normal,0
0.5041,0,1,825,3858,normal,0
0.9707,0,0,855,463,normal,0
0.0134,0,3,753,3874,normal,0
0.3065,0,3,1255,4041,normal,0
0.1601,0,1,1340,2674,normal,0
0.2052,0,1,1033,1753,normal,0
0.151,0,2,1162,540,normal,0
0.2706,1,1,520,3095,normal,0
0.0466,0,0,27,48,ddos_attack,1
0.0042,0,3,46,11,ddos_attack,1
0.6949,0,0,1360,4080,normal,0
0.8757,0,3,240,1763,normal,0
1.179,0,0,781,2910,normal,0
0.0852,0,4,1590,15,honeypot_probe,1
0.1735,0,2,1238,1295,normal,0
0.001,0,0,48,13,ddos_attack,1
0.2913,1,1,721,878,normal,0
0.7167,0,0,1261,1804,normal,0
0.2526,1,0,92,3364,normal,0
0.4353,1,3,574,3526,normal,0
0.14,0,4,1293,30,honeypot_probe,1
0.2374,0,0,102,3325,normal,0
0.0057,0,0,539,583,normal,0
0.5238,0,1,253,632,normal,0
0.1682,1,0,197,2233,normal,0
1.7513,0,3,949,3412,normal,0
0.0077,0,4,1450,18,honeypot_probe,1
0.074,0,4,1456,48,honeypot_probe,1
0.0061,0,1,63,2,ddos_attack,1
0.0047,0,4,1235,73,honeypot_probe,1
0.221,0,4,1171,23,honeypot_probe,1
0.1624,0,1,761,3515,normal,0
0.0405,1,3,565,3134,normal,0
0.1852,0,2,988,3084,normal,0
0.1729,0,4,1817,68,honeypot_probe,1
0.2709,1,3,940,1156,normal,0
0.2362,0,3,240,1930,normal,0
0.2397,1,2,168,3298,normal,0
0.0069,0,2,772,4062,normal,0
0.0244,0,1,62,36,ddos_attack,1
0.0047,0,0,18,45,ddos_attack,1
0.1606,0,3,551,1951,normal,0
0.1564,0,1,501,2293,normal,0
0.0037,0,3,53,4,ddos_attack,1
0.7847,0,1,982,3406,normal,0
0.0102,0,3,48,37,ddos_attack,1
1.9677,0,1,1422,3034,normal,0
0.648,0,1,1422,1147,normal,0
0.3708,0,2,201,2359,normal,0
0.0146,0,0,14,33,ddos_attack,1
0.2134,0,1,174,888,normal,0
0.4395,0,2,963,487,normal,0
0.0053,0,3,36,28,ddos_attack,1
0.0921,0,4,1274,18,honeypot_probe,1
0.0042,0,0,31,20,ddos_attack,1
0.3822,0,3,1165,1881,normal,0
0.0004,0,1,31,46,ddos_attack,1
0.0854,0,0,867,1408,normal,0
0.4548,1,1,119,853,normal,0
0.7135,0,2,729,653,normal,0
0.0714,0,2,426,1902,normal,0
1.0095,0,1,1279,1782,normal,0
0.0101,0,0,189,2987,normal,0
0.21,0,1,296,2284,normal,0
0.4388,0,1,1456,2923,normal,0
0.1669,0,1,378,1004,normal,0
1.3567,0,0,687,2691,normal,0
0.0092,0,4,549,94,honeypot_probe,1
0.9236,0,0,292,2723,normal,0
0.2269,0,4,667,91,honeypot_probe,1
0.0005,0,4,317,93,honeypot_probe,1
0.5523,1,1,1479,3225,normal,0
0.7337,0,0,787,352,normal,0
0.0075,0,1,23,63,ddos_attack,1
0.3527,1,0,322,3872,normal,0
0.3028,0,1,961,2188,normal,0
0.0009,0,0,18,16,ddos_attack,1
